module,module_title,lesson,skill,grade
1,Welcome & Grade 1 Phonics Review,1.1,Warm-up review of key skills,grade 2
1,Welcome & Grade 1 Phonics Review,1.2,Practice with mixed examples,grade 2
1,Welcome & Grade 1 Phonics Review,1.3,Spotting and fixing tricky parts,grade 2
1,Welcome & Grade 1 Phonics Review,1.4,Putting the skills together,grade 2
1,Welcome & Grade 1 Phonics Review,1.5,Show what you know,grade 2
1,Welcome & Grade 1 Phonics Review,1.6,Welcome & Grade 1 Phonics Review Quiz,grade 2
2,Long Vowel a,2.1,Hearing and reading the a_e pattern,grade 2
2,Long Vowel a,2.2,Hearing and reading the ai pattern,grade 2
2,Long Vowel a,2.3,Hearing and reading the ay pattern,grade 2
2,Long Vowel a,2.4,Blending and decoding words with long vowel a,grade 2
2,Long Vowel a,2.5,Sorting and spelling words with long vowel a,grade 2
2,Long Vowel a,2.6,Long Vowel a Quiz,grade 2
3,Long Vowel e,3.1,Hearing and reading the ee pattern,grade 2
3,Long Vowel e,3.2,Hearing and reading the ea pattern,grade 2
3,Long Vowel e,3.3,Hearing and reading the e_e pattern,grade 2
3,Long Vowel e,3.4,Blending and decoding words with long vowel e,grade 2
3,Long Vowel e,3.5,Sorting and spelling words with long vowel e,grade 2
3,Long Vowel e,3.6,Long Vowel e Quiz,grade 2
4,Long Vowel i,4.1,Hearing and reading the i_e pattern,grade 2
4,Long Vowel i,4.2,Hearing and reading the igh pattern,grade 2
4,Long Vowel i,4.3,Hearing and reading the ie pattern,grade 2
4,Long Vowel i,4.4,Blending and decoding words with long vowel i,grade 2
4,Long Vowel i,4.5,Sorting and spelling words with long vowel i,grade 2
4,Long Vowel i,4.6,Long Vowel i Quiz,grade 2
5,Long Vowel o,5.1,Hearing and reading the o_e pattern,grade 2
5,Long Vowel o,5.2,Hearing and reading the oa pattern,grade 2
5,Long Vowel o,5.3,Hearing and reading the ow pattern,grade 2
5,Long Vowel o,5.4,Blending and decoding words with long vowel o,grade 2
5,Long Vowel o,5.5,Sorting and spelling words with long vowel o,grade 2
5,Long Vowel o,5.6,Long Vowel o Quiz,grade 2
6,Long Vowel u,6.1,Hearing and reading the u_e pattern,grade 2
6,Long Vowel u,6.2,Hearing and reading the ue pattern,grade 2
6,Long Vowel u,6.3,Hearing and reading the ew pattern,grade 2
6,Long Vowel u,6.4,Blending and decoding words with long vowel u,grade 2
6,Long Vowel u,6.5,Sorting and spelling words with long vowel u,grade 2
6,Long Vowel u,6.6,Long Vowel u Quiz,grade 2
7,Distinguishing Long vs. Short Vowels,7.1,Introducing distinguishing long vs. short vowels,grade 2
7,Distinguishing Long vs. Short Vowels,7.2,Clear examples of distinguishing long vs. short vowels,grade 2
7,Distinguishing Long vs. Short Vowels,7.3,Practicing distinguishing long vs. short vowels,grade 2
7,Distinguishing Long vs. Short Vowels,7.4,Applying distinguishing long vs. short vowels,grade 2
7,Distinguishing Long vs. Short Vowels,7.5,Mastering distinguishing long vs. short vowels,grade 2
7,Distinguishing Long vs. Short Vowels,7.6,Distinguishing Long vs. Short Vowels Quiz,grade 2
8,Vowel Teams Review & Practice,8.1,Warm-up review of key skills,grade 2
8,Vowel Teams Review & Practice,8.2,Practice with mixed examples,grade 2
8,Vowel Teams Review & Practice,8.3,Spotting and fixing tricky parts,grade 2
8,Vowel Teams Review & Practice,8.4,Putting the skills together,grade 2
8,Vowel Teams Review & Practice,8.5,Show what you know,grade 2
8,Vowel Teams Review & Practice,8.6,Vowel Teams Review & Practice Quiz,grade 2
9,"R-Controlled Vowels: ar, or",9.1,"Introducing ar, or",grade 2
9,"R-Controlled Vowels: ar, or",9.2,"Clear examples of ar, or",grade 2
9,"R-Controlled Vowels: ar, or",9.3,"Practicing ar, or",grade 2
9,"R-Controlled Vowels: ar, or",9.4,"Applying ar, or",grade 2
9,"R-Controlled Vowels: ar, or",9.5,"Mastering ar, or",grade 2
9,"R-Controlled Vowels: ar, or",9.6,"ar, or Quiz",grade 2
10,"R-Controlled Vowels: er, ir, ur",10.1,"Introducing er, ir, ur",grade 2
