module,module_title,lesson,skill,grade
1,Welcome & Grade 2 Review,1.1,Warm-up review of key skills,grade 3
1,Welcome & Grade 2 Review,1.2,Practice with mixed examples,grade 3
1,Welcome & Grade 2 Review,1.3,Spotting and fixing tricky parts,grade 3
1,Welcome & Grade 2 Review,1.4,Putting the skills together,grade 3
1,Welcome & Grade 2 Review,1.5,Show what you know,grade 3
1,Welcome & Grade 2 Review,1.6,Welcome & Grade 2 Review Quiz,grade 3
2,Multisyllabic Decoding: Syllable Division Rules,2.1,Introducing syllable division rules,grade 3
2,Multisyllabic Decoding: Syllable Division Rules,2.2,Clear examples of syllable division rules,grade 3
2,Multisyllabic Decoding: Syllable Division Rules,2.3,Practicing syllable division rules,grade 3
2,Multisyllabic Decoding: Syllable Division Rules,2.4,Applying syllable division rules,grade 3
2,Multisyllabic Decoding: Syllable Division Rules,2.5,Mastering syllable division rules,grade 3
2,Multisyllabic Decoding: Syllable Division Rules,2.6,Syllable Division Rules Quiz,grade 3
3,Multisyllabic Decoding: Open & Closed Syllables,3.1,Introducing open & closed syllables,grade 3
3,Multisyllabic Decoding: Open & Closed Syllables,3.2,Clear examples of open & closed syllables,grade 3
3,Multisyllabic Decoding: Open & Closed Syllables,3.3,Practicing open & closed syllables,grade 3
3,Multisyllabic Decoding: Open & Closed Syllables,3.4,Applying open & closed syllables,grade 3
3,Multisyllabic Decoding: Open & Closed Syllables,3.5,Mastering open & closed syllables,grade 3
3,Multisyllabic Decoding: Open & Closed Syllables,3.6,Open & Closed Syllables Quiz,grade 3
4,Multisyllabic Decoding: Vowel-Team & R-Controlled Syllables,4.1,Introducing vowel-team & r-controlled syllables,grade 3
4,Multisyllabic Decoding: Vowel-Team & R-Controlled Syllables,4.2,Clear examples of vowel-team & r-controlled syllables,grade 3
4,Multisyllabic Decoding: Vowel-Team & R-Controlled Syllables,4.3,Practicing vowel-team & r-controlled syllables,grade 3
4,Multisyllabic Decoding: Vowel-Team & R-Controlled Syllables,4.4,Applying vowel-team & r-controlled syllables,grade 3
4,Multisyllabic Decoding: Vowel-Team & R-Controlled Syllables,4.5,Mastering vowel-team & r-controlled syllables,grade 3
4,Multisyllabic Decoding: Vowel-Team & R-Controlled Syllables,4.6,Vowel-Team & R-Controlled Syllables Quiz,grade 3
5,Multisyllabic Decoding: Consonant-le Syllables,5.1,Introducing consonant-le syllables,grade 3
5,Multisyllabic Decoding: Consonant-le Syllables,5.2,Clear examples of consonant-le syllables,grade 3
5,Multisyllabic Decoding: Consonant-le Syllables,5.3,Practicing consonant-le syllables,grade 3
5,Multisyllabic Decoding: Consonant-le Syllables,5.4,Applying consonant-le syllables,grade 3
5,Multisyllabic Decoding: Consonant-le Syllables,5.5,Mastering consonant-le syllables,grade 3
5,Multisyllabic Decoding: Consonant-le Syllables,5.6,Consonant-le Syllables Quiz,grade 3
6,"Common Prefixes: un-, re-, pre-, dis-, mis-",6.1,"Meet the word parts in un-, re-, pre-, dis-, mis-",grade 3
6,"Common Prefixes: un-, re-, pre-, dis-, mis-",6.2,What each part means,grade 3
6,"Common Prefixes: un-, re-, pre-, dis-, mis-",6.3,"Building words with un-, re-, pre-, dis-, mis-",grade 3
6,"Common Prefixes: un-, re-, pre-, dis-, mis-",6.4,Breaking big words into parts,grade 3
6,"Common Prefixes: un-, re-, pre-, dis-, mis-",6.5,Using the parts to unlock meaning,grade 3
6,"Common Prefixes: un-, re-, pre-, dis-, mis-",6.6,"un-, re-, pre-, dis-, mis- Quiz",grade 3
7,"Common Suffixes: -ful, -less, -ness, -ment",7.1,"Meet the word parts in -ful, -less, -ness, -ment",grade 3
7,"Common Suffixes: -ful, -less, -ness, -ment",7.2,What each part means,grade 3
7,"Common Suffixes: -ful, -less, -ness, -ment",7.3,"Building words with -ful, -less, -ness, -ment",grade 3
7,"Common Suffixes: -ful, -less, -ness, -ment",7.4,Breaking big words into parts,grade 3
7,"Common Suffixes: -ful, -less, -ness, -ment",7.5,Using the parts to unlock meaning,grade 3
7,"Common Suffixes: -ful, -less, -ness, -ment",7.6,"-ful, -less, -ness, -ment Quiz",grade 3
8,"Latin Suffixes: -tion, -sion, -able, -ible",8.1,"Meet the word parts in -tion, -sion, -able, -ible",grade 3
8,"Latin Suffixes: -tion, -sion, -able, -ible",8.2,What each part means,grade 3
8,"Latin Suffixes: -tion, -sion, -able, -ible",8.3,"Building words with -tion, -sion, -able, -ible",grade 3
8,"Latin Suffixes: -tion, -sion, -able, -ible",8.4,Breaking big words into parts,grade 3
8,"Latin Suffixes: -tion, -sion, -able, -ible",8.5,Using the parts to unlock meaning,grade 3
8,"Latin Suffixes: -tion, -sion, -able, -ible",8.6,"-tion, -sion, -able, -ible Quiz",grade 3
9,Roots & Base Words,9.1,Meet the word parts in Roots & Base Words,grade 3
9,Roots & Base Words,9.2,What each part means,grade 3
9,Roots & Base Words,9.3,Building words with Roots & Base Words,grade 3
9,Roots & Base Words,9.4,Breaking big words into parts,grade 3
9,Roots & Base Words,9.5,Using the parts to unlock meaning,grade 3
9,Roots & Base Words,9.6,Roots & Base Words Quiz,grade 3
10,Irregularly Spelled Words,10.1,Introducing irregularly spelled words,grade 3
10,Irregularly Spelled Words,10.2,Clear examples of irregularly spelled words,grade 3
10,Irregularly Spelled Words,10.3,Practicing irregularly spelled words,grade 3
10,Irregularly Spelled Words,10.4,Applying irregularly spelled words,grade 3
10,Irregularly Spelled Words,10.5,Mastering irregularly spelled words,grade 3
10,Irregularly Spelled Words,10.6,Irregularly Spelled Words Quiz,grade 3
11,"Fluency - Rate, Accuracy, Expression",11.1,Reading with accuracy,grade 3
11,"Fluency - Rate, Accuracy, Expression",11.2,Reading at a smooth rate,grade 3
11,"Fluency - Rate, Accuracy, Expression",11.3,Reading with expression,grade 3
11,"Fluency - Rate, Accuracy, Expression",11.4,Phrasing with punctuation,grade 3
11,"Fluency - Rate, Accuracy, Expression",11.5,Re-reading to build fluency,grade 3
11,"Fluency - Rate, Accuracy, Expression",11.6,"Fluency - Rate, Accuracy, Expression Quiz",grade 3
12,Comprehension - Asking & Answering w/ Text Evidence,12.1,What is asking & answering w/ text evidence?,grade 3
12,Comprehension - Asking & Answering w/ Text Evidence,12.2,Finding asking & answering w/ text evidence in a short text,grade 3
12,Comprehension - Asking & Answering w/ Text Evidence,12.3,Using text evidence for asking & answering w/ text evidence,grade 3
12,Comprehension - Asking & Answering w/ Text Evidence,12.4,Practicing asking & answering w/ text evidence with a passage,grade 3
12,Comprehension - Asking & Answering w/ Text Evidence,12.5,Explaining asking & answering w/ text evidence in my own words,grade 3
12,Comprehension - Asking & Answering w/ Text Evidence,12.6,Comprehension - Asking & Answering w/ Text Evidence Quiz,grade 3
13,Comprehension - Main Idea & Supporting Details,13.1,What is main idea & supporting details?,grade 3
13,Comprehension - Main Idea & Supporting Details,13.2,Finding main idea & supporting details in a short text,grade 3
13,Comprehension - Main Idea & Supporting Details,13.3,Using text evidence for main idea & supporting details,grade 3
13,Comprehension - Main Idea & Supporting Details,13.4,Practicing main idea & supporting details with a passage,grade 3
13,Comprehension - Main Idea & Supporting Details,13.5,Explaining main idea & supporting details in my own words,grade 3
13,Comprehension - Main Idea & Supporting Details,13.6,Comprehension - Main Idea & Supporting Details Quiz,grade 3
14,Comprehension - Sequence & Cause/Effect,14.1,What is sequence & cause/effect?,grade 3
14,Comprehension - Sequence & Cause/Effect,14.2,Finding sequence & cause/effect in a short text,grade 3
14,Comprehension - Sequence & Cause/Effect,14.3,Using text evidence for sequence & cause/effect,grade 3
14,Comprehension - Sequence & Cause/Effect,14.4,Practicing sequence & cause/effect with a passage,grade 3
14,Comprehension - Sequence & Cause/Effect,14.5,Explaining sequence & cause/effect in my own words,grade 3
14,Comprehension - Sequence & Cause/Effect,14.6,Comprehension - Sequence & Cause/Effect Quiz,grade 3
15,Comprehension - Drawing Inferences,15.1,What is drawing inferences?,grade 3
15,Comprehension - Drawing Inferences,15.2,Finding drawing inferences in a short text,grade 3
15,Comprehension - Drawing Inferences,15.3,Using text evidence for drawing inferences,grade 3
15,Comprehension - Drawing Inferences,15.4,Practicing drawing inferences with a passage,grade 3
15,Comprehension - Drawing Inferences,15.5,Explaining drawing inferences in my own words,grade 3
15,Comprehension - Drawing Inferences,15.6,Comprehension - Drawing Inferences Quiz,grade 3
16,Comprehension - Determining Theme / Lesson,16.1,What is determining theme / lesson?,grade 3
16,Comprehension - Determining Theme / Lesson,16.2,Finding determining theme / lesson in a short text,grade 3
16,Comprehension - Determining Theme / Lesson,16.3,Using text evidence for determining theme / lesson,grade 3
16,Comprehension - Determining Theme / Lesson,16.4,Practicing determining theme / lesson with a passage,grade 3
16,Comprehension - Determining Theme / Lesson,16.5,Explaining determining theme / lesson in my own words,grade 3
16,Comprehension - Determining Theme / Lesson,16.6,Comprehension - Determining Theme / Lesson Quiz,grade 3
17,Comprehension - Character Motivation & Traits,17.1,What is character motivation & traits?,grade 3
17,Comprehension - Character Motivation & Traits,17.2,Finding character motivation & traits in a short text,grade 3
17,Comprehension - Character Motivation & Traits,17.3,Using text evidence for character motivation & traits,grade 3
17,Comprehension - Character Motivation & Traits,17.4,Practicing character motivation & traits with a passage,grade 3
17,Comprehension - Character Motivation & Traits,17.5,Explaining character motivation & traits in my own words,grade 3
17,Comprehension - Character Motivation & Traits,17.6,Comprehension - Character Motivation & Traits Quiz,grade 3
18,Comprehension - Point of View,18.1,What is point of view?,grade 3
18,Comprehension - Point of View,18.2,Finding point of view in a short text,grade 3
18,Comprehension - Point of View,18.3,Using text evidence for point of view,grade 3
18,Comprehension - Point of View,18.4,Practicing point of view with a passage,grade 3
18,Comprehension - Point of View,18.5,Explaining point of view in my own words,grade 3
18,Comprehension - Point of View,18.6,Comprehension - Point of View Quiz,grade 3
19,Informational Text - Text Features & Search Tools,19.1,What is text features & search tools?,grade 3
19,Informational Text - Text Features & Search Tools,19.2,Finding text features & search tools in a short text,grade 3
19,Informational Text - Text Features & Search Tools,19.3,Using text evidence for text features & search tools,grade 3
19,Informational Text - Text Features & Search Tools,19.4,Practicing text features & search tools with a passage,grade 3
19,Informational Text - Text Features & Search Tools,19.5,Explaining text features & search tools in my own words,grade 3
19,Informational Text - Text Features & Search Tools,19.6,Informational Text - Text Features & Search Tools Quiz,grade 3
20,Comprehension - Compare Two Texts on Same Topic,20.1,What is compare two texts on same topic?,grade 3
20,Comprehension - Compare Two Texts on Same Topic,20.2,Finding compare two texts on same topic in a short text,grade 3
20,Comprehension - Compare Two Texts on Same Topic,20.3,Using text evidence for compare two texts on same topic,grade 3
20,Comprehension - Compare Two Texts on Same Topic,20.4,Practicing compare two texts on same topic with a passage,grade 3
20,Comprehension - Compare Two Texts on Same Topic,20.5,Explaining compare two texts on same topic in my own words,grade 3
20,Comprehension - Compare Two Texts on Same Topic,20.6,Comprehension - Compare Two Texts on Same Topic Quiz,grade 3
21,Vocabulary - Context Clues,21.1,Understanding context clues,grade 3
21,Vocabulary - Context Clues,21.2,Clear examples of context clues,grade 3
21,Vocabulary - Context Clues,21.3,Using context clues in sentences,grade 3
21,Vocabulary - Context Clues,21.4,Working out context clues from context,grade 3
21,Vocabulary - Context Clues,21.5,Practicing context clues,grade 3
21,Vocabulary - Context Clues,21.6,Vocabulary - Context Clues Quiz,grade 3
22,Vocabulary - Affixes to Determine Meaning,22.1,Meet the word parts in Affixes to Determine Meaning,grade 3
