module,module_title,lesson,skill,grade
1,Welcome & Grade 3 Review,1.1,Warm-up review of key skills,grade 4
1,Welcome & Grade 3 Review,1.2,Practice with mixed examples,grade 4
1,Welcome & Grade 3 Review,1.3,Spotting and fixing tricky parts,grade 4
1,Welcome & Grade 3 Review,1.4,Putting the skills together,grade 4
1,Welcome & Grade 3 Review,1.5,Show what you know,grade 4
1,Welcome & Grade 3 Review,1.6,Welcome & Grade 3 Review Quiz,grade 4
2,Reading Multisyllabic Words in & out of Context,2.1,What is reading multisyllabic words in & out of context?,grade 4
2,Reading Multisyllabic Words in & out of Context,2.2,Finding reading multisyllabic words in & out of context in a short text,grade 4
2,Reading Multisyllabic Words in & out of Context,2.3,Using text evidence for reading multisyllabic words in & out of context,grade 4
2,Reading Multisyllabic Words in & out of Context,2.4,Practicing reading multisyllabic words in & out of context with a passage,grade 4
2,Reading Multisyllabic Words in & out of Context,2.5,Explaining reading multisyllabic words in & out of context in my own words,grade 4
2,Reading Multisyllabic Words in & out of Context,2.6,Reading Multisyllabic Words in & out of Context Quiz,grade 4
3,Greek Roots,3.1,Meet the word parts in Greek Roots,grade 4
3,Greek Roots,3.2,What each part means,grade 4
3,Greek Roots,3.3,Building words with Greek Roots,grade 4
3,Greek Roots,3.4,Breaking big words into parts,grade 4
3,Greek Roots,3.5,Using the parts to unlock meaning,grade 4
3,Greek Roots,3.6,Greek Roots Quiz,grade 4
4,Latin Roots,4.1,Meet the word parts in Latin Roots,grade 4
4,Latin Roots,4.2,What each part means,grade 4
4,Latin Roots,4.3,Building words with Latin Roots,grade 4
4,Latin Roots,4.4,Breaking big words into parts,grade 4
4,Latin Roots,4.5,Using the parts to unlock meaning,grade 4
4,Latin Roots,4.6,Latin Roots Quiz,grade 4
5,Prefixes,5.1,Meet the word parts in Prefixes,grade 4
5,Prefixes,5.2,What each part means,grade 4
5,Prefixes,5.3,Building words with Prefixes,grade 4
5,Prefixes,5.4,Breaking big words into parts,grade 4
5,Prefixes,5.5,Using the parts to unlock meaning,grade 4
5,Prefixes,5.6,Prefixes Quiz,grade 4
6,Suffixes,6.1,Meet the word parts in Suffixes,grade 4
6,Suffixes,6.2,What each part means,grade 4
6,Suffixes,6.3,Building words with Suffixes,grade 4
6,Suffixes,6.4,Breaking big words into parts,grade 4
6,Suffixes,6.5,Using the parts to unlock meaning,grade 4
6,Suffixes,6.6,Suffixes Quiz,grade 4
7,Morphology - Building & Breaking Big Words,7.1,Meet the word parts in Building & Breaking Big Words,grade 4
7,Morphology - Building & Breaking Big Words,7.2,What each part means,grade 4
7,Morphology - Building & Breaking Big Words,7.3,Building words with Building & Breaking Big Words,grade 4
7,Morphology - Building & Breaking Big Words,7.4,Breaking big words into parts,grade 4
7,Morphology - Building & Breaking Big Words,7.5,Using the parts to unlock meaning,grade 4
7,Morphology - Building & Breaking Big Words,7.6,Morphology - Building & Breaking Big Words Quiz,grade 4
8,Fluency - Reading for Meaning & Expression,8.1,Reading with accuracy,grade 4
8,Fluency - Reading for Meaning & Expression,8.2,Reading at a smooth rate,grade 4
8,Fluency - Reading for Meaning & Expression,8.3,Reading with expression,grade 4
